taxon	n_sampled_genomes	n_rt_positive_genomes	rank	n_exact_rt	n_physical_loci	prevalence_pct	prevalence_pct_ci_lo	prevalence_pct_ci_hi	loci_per_positive_genome	exact_rt_per_positive_genome	meets_min_sampled	unit	denominator
BMS3Abin05	5	2	genus	2	4	40.0	11.7621	76.9276	2.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
BMS3Abin08	5	1	genus	2	2	20.0	3.6224	62.4465	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA1444	5	2	genus	7	10	40.0	11.7621	76.9276	5.0	3.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Citrobacter_D	5	3	genus	3	3	60.0	23.0724	88.2379	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
RQCD01	5	2	genus	2	2	40.0	11.7621	76.9276	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Geomobilimonas	5	2	genus	2	2	40.0	11.7621	76.9276	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACKIL01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAICMS01	5	2	genus	2	2	40.0	11.7621	76.9276	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Sphaerobacter	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAJPIA01	5	2	genus	2	2	40.0	11.7621	76.9276	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAGPKW01	5	3	genus	1	3	60.0	23.0724	88.2379	1.0	0.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAGPMH01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
RGIG6105	5	3	genus	3	3	60.0	23.0724	88.2379	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
RGIG1752	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Mahella	5	4	genus	4	4	80.0	37.5535	96.3776	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
BMS3ABIN06	5	5	genus	7	9	100.0	56.5518	100.0	1.8	1.4	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JASBRS01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
RUG12999	5	2	genus	2	2	40.0	11.7621	76.9276	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
SLHA01	5	2	genus	6	6	40.0	11.7621	76.9276	3.0	3.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
GCA-2861595	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA8783	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Peptoniphilus_E	5	2	genus	1	2	40.0	11.7621	76.9276	1.0	0.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Lithacetigena	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CAIUVD01	5	2	genus	2	2	40.0	11.7621	76.9276	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CATLTV01	5	4	genus	1	4	80.0	37.5535	96.3776	1.0	0.25	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JBFGJY01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Occultella	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Prochloron	5	1	genus	22	22	20.0	3.6224	62.4465	22.0	22.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACKGU01	5	3	genus	1	3	60.0	23.0724	88.2379	1.0	0.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACKGW01	5	4	genus	5	6	80.0	37.5535	96.3776	1.5	1.25	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
XYC2-FULL-41-22	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Zooshikella	5	5	genus	8	10	100.0	56.5518	100.0	2.0	1.6	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAJPIG01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Geotalea	5	3	genus	9	23	60.0	23.0724	88.2379	7.6667	3.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACKHO01	5	4	genus	6	7	80.0	37.5535	96.3776	1.75	1.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
BMS3ABIN14	5	3	genus	6	6	60.0	23.0724	88.2379	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA2219	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CAITYE01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA8919	5	2	genus	5	5	40.0	11.7621	76.9276	2.5	2.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA6156	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
BuS5	5	2	genus	2	2	40.0	11.7621	76.9276	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
SLCH01	5	3	genus	3	3	60.0	23.0724	88.2379	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAITLA01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
2-01-FULL-41-14	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JBFGTT01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JdFR-80	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JALZKJ01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
SLCK01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAIOSR01	5	3	genus	7	7	60.0	23.0724	88.2379	2.3333	2.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JBAZLV01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
SLCP01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JdFR-78	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Sporocytophaga	5	5	genus	13	14	100.0	56.5518	100.0	2.8	2.6	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
H2-BAC3	5	3	genus	7	7	60.0	23.0724	88.2379	2.3333	2.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JALZHR01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAGYII01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Budvicia	5	4	genus	18	36	80.0	37.5535	96.3776	9.0	4.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
STE-63	5	4	genus	2	4	80.0	37.5535	96.3776	1.0	0.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
RHKK01	5	1	genus	2	2	20.0	3.6224	62.4465	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
2-02-FULL-38-14	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACDEQ01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
HGM11507	5	4	genus	4	4	80.0	37.5535	96.3776	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CAIRNR01	5	3	genus	3	3	60.0	23.0724	88.2379	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA2135	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAAYUK01	5	1	genus	2	2	20.0	3.6224	62.4465	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Blastopirellula	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
HGM11327	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CAMUQR01	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
DUPK01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
C-114	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
HGM10836	5	4	genus	4	8	80.0	37.5535	96.3776	2.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JdFR-88	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAAYTL01	5	2	genus	4	4	40.0	11.7621	76.9276	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACDHG01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
DQWO01	5	4	genus	8	8	80.0	37.5535	96.3776	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
BJHT01	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JANSYS01	5	4	genus	1	4	80.0	37.5535	96.3776	1.0	0.25	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Aestuariirhabdus	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UM-FILTER-41-21	5	5	genus	5	10	100.0	56.5518	100.0	2.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACKAQ01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JBBPYC01	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Trichofilum	5	3	genus	4	5	60.0	23.0724	88.2379	1.6667	1.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACKCC01	5	4	genus	5	5	80.0	37.5535	96.3776	1.25	1.25	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
70-18	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA2197	5	1	genus	2	2	20.0	3.6224	62.4465	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Acidimangrovimonas	5	2	genus	6	6	40.0	11.7621	76.9276	3.0	3.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
UBA876	5	3	genus	3	3	60.0	23.0724	88.2379	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Gorillibacterium	5	2	genus	2	2	40.0	11.7621	76.9276	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
SpSt-398	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Neorickettsia	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
DRQV01	5	3	genus	15	15	60.0	23.0724	88.2379	5.0	5.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAJZKG01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
CASPLG01	5	1	genus	2	2	20.0	3.6224	62.4465	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAJPJA01	5	1	genus	4	4	20.0	3.6224	62.4465	4.0	4.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
RGIG1927	5	4	genus	5	5	80.0	37.5535	96.3776	1.25	1.25	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
SZUA-87	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAJYSO01	5	2	genus	3	3	40.0	11.7621	76.9276	1.5	1.5	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
PB-SRB1	5	4	genus	8	8	80.0	37.5535	96.3776	2.0	2.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JBGYPP01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Pseudactinotalea	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JACJYE01	5	3	genus	7	7	60.0	23.0724	88.2379	2.3333	2.3333	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
XYC2-FULL-46-14	5	1	genus	1	1	20.0	3.6224	62.4465	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
Litoribacillus	5	3	genus	3	3	60.0	23.0724	88.2379	1.0	1.0	False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAFIHG01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
JAGOVW01	5	0	genus	0	0	0.0	0.0	43.4482			False	genomes	genomes of that taxon in the GTDB bacterial catalogue (the sampled set; an upper bound on what the pipeline attempted - pipeline failures are not recorded in any Stage-1 input). Only gtdb_bacteria corpus records contribute the numerator
